estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
1873,324,16,"(1, 2)","(64, 8)",1,0.01115467851851852,0.8964848232424116,"Trip_Count, Latencies"
1874,324,16,"(1, 2)","(128, 1)",2,0.010643826666666667,0.9395117294907721,"Trip_Count, Latencies"
1875,324,16,"(1, 2)","(128, 2)",1,0.01115467851851852,0.8964848232424116,"Trip_Count, Latencies"
1876,324,16,"(1, 2)","(128, 4)",1,0.01115467851851852,0.8964848232424116,"Trip_Count, Latencies"
1877,324,16,"(1, 2)","(256, 1)",2,0.010643826666666667,0.9395117294907721,"Trip_Count, Latencies"
1878,324,16,"(1, 2)","(256, 2)",1,0.01115467851851852,0.8964848232424116,"Trip_Count, Latencies"
1879,324,16,"(1, 2)","(512, 1)",2,0.010643826666666667,0.9395117294907721,"Trip_Count, Latencies"
1880,324,32,"(1,)","(8,)",1,0.010057878518518519,0.9942454546043727,"Trip_Count, Latencies"
1881,324,32,"(1, 2)","(1, 8)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1882,324,32,"(1,)","(16,)",1,0.010057878518518519,0.9942454546043727,"Trip_Count, Latencies"
1883,324,32,"(1, 2)","(1, 16)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1884,324,32,"(1,)","(32,)",1,0.010057878518518519,0.9942454546043727,"Trip_Count, Latencies"
1885,324,32,"(1, 2)","(1, 32)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1886,324,32,"(1,)","(64,)",1,0.010057878518518519,0.9942454546043727,"Trip_Count, Latencies"
1887,324,32,"(1, 2)","(1, 64)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1888,324,32,"(1,)","(128,)",1,0.010057878518518519,0.9942454546043727,"Trip_Count, Latencies"
1889,324,32,"(1, 2)","(1, 128)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1890,324,32,"(1,)","(256,)",1,0.010057878518518519,0.9942454546043727,"Trip_Count, Latencies"
1891,324,32,"(1, 2)","(1, 256)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1892,324,32,"(1,)","(512,)",1,0.010057878518518519,0.9942454546043727,"Trip_Count, Latencies"
1893,324,32,"(1, 2)","(1, 512)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1894,324,32,"(1, 2)","(2, 4)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1895,324,32,"(1, 2)","(2, 8)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1896,324,32,"(1, 2)","(2, 16)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1897,324,32,"(1, 2)","(2, 32)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1898,324,32,"(1, 2)","(2, 64)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1899,324,32,"(1, 2)","(2, 128)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1900,324,32,"(1, 2)","(2, 256)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1901,324,32,"(1, 2)","(4, 2)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1902,324,32,"(1, 2)","(4, 4)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1903,324,32,"(1, 2)","(4, 8)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1904,324,32,"(1, 2)","(4, 16)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1905,324,32,"(1, 2)","(4, 32)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1906,324,32,"(1, 2)","(4, 64)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1907,324,32,"(1, 2)","(4, 128)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1908,324,32,"(1, 2)","(8, 1)",2,0.01074184,0.9309392059460948,"Trip_Count, Latencies"
1909,324,32,"(1, 2)","(8, 2)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1910,324,32,"(1, 2)","(8, 4)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1911,324,32,"(1, 2)","(8, 8)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1912,324,32,"(1, 2)","(8, 16)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1913,324,32,"(1, 2)","(8, 32)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1914,324,32,"(1, 2)","(8, 64)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1915,324,32,"(1, 2)","(16, 1)",2,0.01074184,0.9309392059460948,"Trip_Count, Latencies"
1916,324,32,"(1, 2)","(16, 2)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1917,324,32,"(1, 2)","(16, 4)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1918,324,32,"(1, 2)","(16, 8)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1919,324,32,"(1, 2)","(16, 16)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1920,324,32,"(1, 2)","(16, 32)",1,0.01122859851851852,0.8905830931177849,"Trip_Count, Latencies"
1921,324,32,"(1, 2)","(32, 1)",2,0.01074184,0.9309392059460948,"Trip_Count, Latencies"
